,id,player_name,team_title,games,time,goals,xG,xG_diff,assists,xA,xA_diff,shots,key_passes,yellow_cards,npg,npxG,xGChain,xGBuildup
417,8864,Matthew Cash,Aston Villa,28,2389,0,0.24789143819361925,-0.24789143819361925,2,1.90566261485219,0.09433738514780998,9,21,6,0,0.24789143819361925,6.5916025741025805,5.0334595097228885
418,8040,Marvelous Nakamba,Aston Villa,13,757,0,0.03308352828025818,-0.03308352828025818,0,0.05933398939669132,-0.05933398939669132,2,2,3,0,0.03308352828025818,0.8930098544806242,0.8114342261105776
419,7724,Wesley,Aston Villa,3,14,0,0.03288218751549721,-0.03288218751549721,0,0.0,0.0,1,0,0,0,0.03288218751549721,0.11823534592986107,0.08535315841436386
420,6122,Douglas Luiz,Aston Villa,33,2807,0,1.3188335550948977,-1.3188335550948977,2,2.4181482968851924,-0.4181482968851924,26,19,8,0,1.3188335550948977,9.615895634517074,7.108103701844811
421,4401,Emiliano Martinez,Aston Villa,38,3420,0,0.0,0.0,0,0.1229233592748642,-0.1229233592748642,0,2,1,0,0.0,3.730909232981503,3.607985866256058
422,3696,Morgan Sanson,Aston Villa,9,291,0,0.026357137598097324,-0.026357137598097324,0,0.10845217108726501,-0.10845217108726501,2,1,3,0,0.026357137598097324,0.30181363597512245,0.19336146488785744
423,1685,Ahmed Elmohamady,Aston Villa,14,823,0,0.3412727639079094,-0.3412727639079094,0,0.9894664287567139,-0.9894664287567139,9,13,2,0,0.3412727639079094,2.426968083716929,1.610212274827063
424,884,Matt Targett,Aston Villa,38,3407,0,0.2803044756874442,-0.2803044756874442,2,2.799669211730361,-0.799669211730361,6,39,7,0,0.2803044756874442,9.610858652740717,8.203313463367522
425,710,Neil Taylor,Aston Villa,1,13,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.0,0.0,0.0
426,1042,Tom Davies,Everton,25,1433,0,0.1774021964520216,-0.1774021964520216,1,0.9561843797564507,0.04381562024354935,7,6,3,0,0.1774021964520216,3.188047233968973,2.6904863491654396
427,1304,Moise Kean,Everton,2,10,0,0.02234572172164917,-0.02234572172164917,0,0.0,0.0,1,0,0,0,0.02234572172164917,0.02234572172164917,0.0
428,6736,Ibrahima Diallo,Southampton,22,999,0,0.6084523275494576,-0.6084523275494576,0,0.6375493090599775,-0.6375493090599775,7,9,3,0,0.6084523275494576,3.302306402474642,2.5710457675158978
429,1379,Allan,Everton,24,2051,0,0.2417211476713419,-0.2417211476713419,0,0.7722852285951376,-0.7722852285951376,7,16,6,0,0.2417211476713419,9.109652698040009,8.36444772593677
430,6504,Michael Obafemi,Southampton,4,52,0,0.0,0.0,0,0.0549185536801815,-0.0549185536801815,0,1,0,0,0.0,0.14890268631279469,0.14890268631279469
431,1735,Jack Stephens,Southampton,18,1544,0,0.8943033330142498,-0.8943033330142498,0,0.45565636083483696,-0.45565636083483696,6,6,2,0,0.8943033330142498,3.081087851896882,2.751403072848916
432,885,Kyle Walker-Peters,Southampton,30,2655,0,1.1350795272737741,-1.1350795272737741,2,1.2537511801347136,0.7462488198652864,18,16,4,0,1.1350795272737741,8.663987297564745,6.625143991783261
433,839,Shane Long,Southampton,11,184,0,0.06422476656734943,-0.06422476656734943,0,0.0,0.0,2,0,0,0,0.06422476656734943,0.08692492172122002,0.06606833077967167
434,835,Ryan Bertrand,Southampton,29,2600,0,0.374919967725873,-0.374919967725873,1,1.395297447219491,-0.395297447219491,8,13,5,0,0.374919967725873,5.361662907525897,4.813895485363901
435,831,Fraser Forster,Southampton,8,720,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,1.1139454767107964,1.1139454767107964
436,635,Alex McCarthy,Southampton,30,2700,0,0.0,0.0,0,0.0,0.0,0,0,2,0,0.0,2.76343253813684,2.76343253813684
437,9406,Nathan Broadhead,Everton,1,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
438,8366,João Virgínia,Everton,1,48,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
439,8150,Anthony Gordon,Everton,3,87,0,0.0,0.0,0,0.01913999207317829,-0.01913999207317829,0,1,0,0,0.0,0.18850479647517204,0.18850479647517204
440,8109,Niels Nkounkou,Everton,2,80,0,0.016959821805357933,-0.016959821805357933,0,0.0,0.0,1,0,1,0,0.016959821805357933,0.030957642942667007,0.013997821137309074
441,7689,Ben Godfrey,Everton,31,2682,0,0.793114734813571,-0.793114734813571,2,0.9784832503646612,1.0215167496353388,14,4,4,0,0.793114734813571,5.5503826308995485,4.866148514673114
442,6962,Robin Olsen,Everton,7,630,0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.0,0.8195910453796387,0.8195910453796387
443,6477,Cenk Tosun,Everton,5,37,0,0.0,0.0,0,0.07407927513122559,-0.07407927513122559,0,1,2,0,0.0,0.10806649923324585,0.033987220376729965
444,4764,Jean-Philippe Gbamin,Everton,1,9,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
445,2383,André Gomes,Everton,28,1574,0,0.42712869960814714,-0.42712869960814714,1,1.0544508751481771,-0.05445087514817715,14,15,3,0,0.42712869960814714,5.508419404737651,4.376286745071411
446,1823,Lucas Digne,Everton,30,2683,0,0.46404311526566744,-0.46404311526566744,7,5.960716728121042,1.0392832718789577,13,45,2,0,0.46404311526566744,10.744329296052456,6.58903606235981
447,525,Martin Kelly,Crystal Palace,1,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
448,530,James Tomkins,Crystal Palace,8,553,0,0.12336964905261993,-0.12336964905261993,0,0.11044849455356598,-0.11044849455356598,2,1,1,0,0.12336964905261993,0.28486899100244045,0.28486899100244045
449,589,James McCarthy,Crystal Palace,16,834,0,0.012277675792574883,-0.012277675792574883,0,0.2898282688111067,-0.2898282688111067,1,5,1,0,0.012277675792574883,1.1981794610619545,1.0280184224247932
450,9154,Elliot Anderson,Newcastle United,1,3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
451,7691,Jamal Lewis,Newcastle United,24,1824,0,0.11957662552595139,-0.11957662552595139,1,0.9897835236042738,0.010216476395726204,3,14,4,0,0.11957662552595139,4.688646201044321,3.727763444185257
452,7078,Sean Longstaff,Newcastle United,22,1391,0,0.8264288203790784,-0.8264288203790784,1,0.9400976076722145,0.05990239232778549,15,13,2,0,0.8264288203790784,3.0005824575200677,1.707065629772842
453,6532,Martin Dubravka,Newcastle United,13,1170,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,2.120249611325562,2.120249611325562
454,6062,Isaac Hayden,Newcastle United,24,1946,0,0.6148466067388654,-0.6148466067388654,0,0.24249647092074156,-0.24249647092074156,16,7,8,0,0.6148466067388654,4.556474668905139,4.0891827661544085
455,1719,Javier Manquillo,Newcastle United,13,823,0,0.023161858320236206,-0.023161858320236206,0,0.2976967543363571,-0.2976967543363571,1,5,1,0,0.023161858320236206,1.4320279778912663,1.111169352196157
456,1683,Ryan Fraser,Newcastle United,18,920,0,0.9030798394232988,-0.9030798394232988,2,2.168529823422432,-0.16852982342243195,13,25,0,0,0.9030798394232988,2.994263719767332,1.3422147808596492
457,780,Karl Darlow,Newcastle United,25,2250,0,0.0,0.0,0,0.0,0.0,0,0,2,0,0.0,0.9974323827773333,0.9974323827773333
458,727,DeAndre Yedlin,Newcastle United,6,442,0,0.0998492855578661,-0.0998492855578661,0,0.08443297632038593,-0.08443297632038593,2,3,0,0,0.0998492855578661,0.5257039777934551,0.3566392660140991
459,708,Federico Fernández,Newcastle United,24,2090,0,0.19384310767054558,-0.19384310767054558,0,0.5685491189360619,-0.5685491189360619,4,7,4,0,0.19384310767054558,3.305469788610935,3.2190251126885414
460,461,Matt Ritchie,Newcastle United,18,1360,0,0.3301006630063057,-0.3301006630063057,2,2.4923457093536854,-0.4923457093536854,11,24,2,0,0.3301006630063057,5.130529761314392,4.38347963988781
461,6875,Rúnar Alex Rúnarsson,Arsenal,1,11,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
