,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
169,4046,Tomer Hemed,16,849,2,1.702439724,2,0.107984684,17,3,0,0,F S,Brighton,2,1.702439724,2.128314292,0.600652762,2017
170,4454,Tom Ince,33,2465,2,6.729044606,0,1.467639742,70,18,0,0,M S,Huddersfield,2,6.729044606,11.46725209,3.950781193,2017
171,4471,Mohamed Diamé,31,2042,2,1.682448739,0,1.005540024,20,14,3,0,M S,Newcastle United,2,1.682448739,3.089516547,2.018749757,2017
172,6104,Will Hughes,15,1004,2,0.662446426,3,1.484191775,12,18,0,0,F M S,Watford,2,0.662446426,3.279212106,1.847753605,2017
173,6525,Badou Ndiaye,13,1144,2,1.147782726,1,0.305845618,19,7,5,0,M,Stoke,2,1.147782726,2.949908055,1.714620931,2017
174,204,Granit Xhaka,38,3274,1,2.177498013,7,2.860932206,66,39,10,0,M S,Arsenal,1,2.177498013,24.63069708,22.75941557,2017
175,248,Elias Kachunga,19,1350,1,1.836872331,1,0.626359833,12,10,1,0,F M S,Huddersfield,1,1.836872331,2.367136973,1.123453983,2017
176,265,Ragnar Klavan,19,1448,1,0.932916701,0,0.135406844,1,4,0,0,D S,Liverpool,1,0.932916701,4.131870978,4.113989078,2017
177,332,Joel Matip,25,1993,1,2.346954212,0,0.578275109,11,5,3,0,D S,Liverpool,1,2.346954212,9.510837562,8.805788206,2017
178,459,Charlie Daniels,35,3012,1,0.569177472,3,2.483891711,20,30,0,0,D M S,Bournemouth,1,0.569177472,5.587671734,4.422320448,2017
179,485,Mamadou Sakho,19,1598,1,1.48547747,2,1.01338625,3,2,1,0,D S,Crystal Palace,1,1.48547747,3.279332153,2.265945859,2017
180,507,Per Mertesacker,6,360,1,0.087745503,0,0,2,0,0,0,D S,Arsenal,1,0.087745503,1.83379874,1.83379874,2017
181,512,Scott Dann,17,1435,1,2.433368006,0,0.218056588,19,5,4,0,D S,Crystal Palace,1,2.433368006,2.519522238,1.891200411,2017
